[2025-10-16 17:46:28] ✅ All tables dropped and created successfully.
[2025-10-16 17:46:41] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2020\3.json
[2025-10-16 17:46:42] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2020\4.json
[2025-10-16 17:46:42] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2021\1.json
[2025-10-16 17:46:42] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2021\2.json
[2025-10-16 17:46:43] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2021\3.json
[2025-10-16 17:46:43] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2021\4.json
[2025-10-16 17:46:43] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2022\1.json
[2025-10-16 17:46:44] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2022\2.json
[2025-10-16 17:46:44] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2022\3.json
[2025-10-16 17:46:44] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2022\4.json
[2025-10-16 17:46:45] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2023\1.json
[2025-10-16 17:46:45] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2023\2.json
[2025-10-16 17:46:45] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2023\3.json
[2025-10-16 17:46:46] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2023\4.json
[2025-10-16 17:46:46] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2024\1.json
[2025-10-16 17:46:46] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2024\2.json
[2025-10-16 17:46:47] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2024\3.json
[2025-10-16 17:46:47] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2024\4.json
[2025-10-16 17:46:47] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2018\1.json
[2025-10-16 17:46:48] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2018\2.json
[2025-10-16 17:46:48] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2018\3.json
[2025-10-16 17:46:48] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2018\4.json
[2025-10-16 17:46:49] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2019\1.json
[2025-10-16 17:46:49] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2019\2.json
[2025-10-16 17:46:49] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2019\3.json
[2025-10-16 17:46:50] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2019\4.json
