[2025-10-16 17:46:28] ✅ All tables dropped and created successfully.
[2025-10-16 17:56:09] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2019\3.json
[2025-10-16 17:56:10] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2019\4.json
[2025-10-16 17:56:10] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2020\1.json
[2025-10-16 17:56:11] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2020\2.json
[2025-10-16 17:56:12] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2020\3.json
[2025-10-16 17:56:13] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2020\4.json
[2025-10-16 17:56:14] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2021\1.json
[2025-10-16 17:56:14] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2021\2.json
[2025-10-16 17:56:15] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2021\3.json
[2025-10-16 17:56:16] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2021\4.json
[2025-10-16 17:56:16] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2022\1.json
[2025-10-16 17:56:16] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2022\2.json
[2025-10-16 17:56:16] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2022\3.json
[2025-10-16 17:56:16] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2022\4.json
[2025-10-16 17:56:16] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2023\1.json
[2025-10-16 17:56:16] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2023\2.json
[2025-10-16 17:56:16] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2023\3.json
[2025-10-16 17:56:16] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2023\4.json
[2025-10-16 17:56:16] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2024\1.json
[2025-10-16 17:56:16] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2024\2.json
[2025-10-16 17:56:16] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2024\3.json
[2025-10-16 17:56:16] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\haryana\2024\4.json
[2025-10-16 17:56:17] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2018\1.json
[2025-10-16 17:56:18] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2018\2.json
[2025-10-16 17:56:19] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2018\3.json
[2025-10-16 17:56:19] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2018\4.json
[2025-10-16 17:56:20] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2019\1.json
[2025-10-16 17:56:21] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2019\2.json
[2025-10-16 17:56:22] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2019\3.json
[2025-10-16 17:56:22] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2019\4.json
[2025-10-16 17:56:23] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2020\1.json
[2025-10-16 17:56:24] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2020\2.json
[2025-10-16 17:56:25] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2020\3.json
[2025-10-16 17:56:25] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2020\4.json
[2025-10-16 17:56:26] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2021\1.json
[2025-10-16 17:56:27] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2021\2.json
[2025-10-16 17:56:28] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2021\3.json
[2025-10-16 17:56:29] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2021\4.json
[2025-10-16 17:56:29] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2022\1.json
[2025-10-16 17:56:29] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2022\2.json
[2025-10-16 17:56:29] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2022\3.json
[2025-10-16 17:56:29] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2022\4.json
[2025-10-16 17:56:29] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2023\1.json
[2025-10-16 17:56:29] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2023\2.json
[2025-10-16 17:56:29] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2023\3.json
[2025-10-16 17:56:29] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2023\4.json
[2025-10-16 17:56:29] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2024\1.json
[2025-10-16 17:56:29] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2024\2.json
[2025-10-16 17:56:29] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2024\3.json
[2025-10-16 17:56:29] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\himachal-pradesh\2024\4.json
[2025-10-16 17:56:30] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2018\1.json
[2025-10-16 17:56:31] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2018\2.json
[2025-10-16 17:56:32] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2018\3.json
[2025-10-16 17:56:32] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2018\4.json
[2025-10-16 17:56:33] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2019\1.json
[2025-10-16 17:56:34] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2019\2.json
[2025-10-16 17:56:35] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2019\3.json
[2025-10-16 17:56:35] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2019\4.json
[2025-10-16 17:56:36] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2020\1.json
[2025-10-16 17:56:37] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2020\2.json
[2025-10-16 17:56:38] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2020\3.json
[2025-10-16 17:56:38] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2020\4.json
[2025-10-16 17:56:39] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2021\1.json
[2025-10-16 17:56:40] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2021\2.json
[2025-10-16 17:56:40] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2021\3.json
[2025-10-16 17:56:41] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2021\4.json
[2025-10-16 17:56:42] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2022\1.json
[2025-10-16 17:56:42] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2022\2.json
[2025-10-16 17:56:42] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2022\3.json
[2025-10-16 17:56:42] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2022\4.json
[2025-10-16 17:56:42] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2023\1.json
[2025-10-16 17:56:42] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2023\2.json
[2025-10-16 17:56:42] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2023\3.json
[2025-10-16 17:56:42] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2023\4.json
[2025-10-16 17:56:42] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2024\1.json
[2025-10-16 17:56:42] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2024\2.json
[2025-10-16 17:56:42] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2024\3.json
[2025-10-16 17:56:42] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jammu-&-kashmir\2024\4.json
[2025-10-16 17:56:43] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2018\1.json
[2025-10-16 17:56:44] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2018\2.json
[2025-10-16 17:56:44] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2018\3.json
[2025-10-16 17:56:45] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2018\4.json
[2025-10-16 17:56:46] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2019\1.json
[2025-10-16 17:56:47] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2019\2.json
[2025-10-16 17:56:47] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2019\3.json
[2025-10-16 17:56:48] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2019\4.json
[2025-10-16 17:56:49] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2020\1.json
[2025-10-16 17:56:50] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2020\2.json
[2025-10-16 17:56:50] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2020\3.json
[2025-10-16 17:56:51] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2020\4.json
[2025-10-16 17:56:52] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2021\1.json
[2025-10-16 17:56:53] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2021\2.json
[2025-10-16 17:56:53] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2021\3.json
[2025-10-16 17:56:54] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2021\4.json
[2025-10-16 17:56:55] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2022\1.json
[2025-10-16 17:56:55] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2022\2.json
[2025-10-16 17:56:55] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2022\3.json
[2025-10-16 17:56:55] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2022\4.json
[2025-10-16 17:56:55] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2023\1.json
[2025-10-16 17:56:55] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2023\2.json
[2025-10-16 17:56:55] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2023\3.json
[2025-10-16 17:56:55] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2023\4.json
[2025-10-16 17:56:55] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2024\1.json
[2025-10-16 17:56:55] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2024\2.json
[2025-10-16 17:56:55] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2024\3.json
[2025-10-16 17:56:55] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\jharkhand\2024\4.json
[2025-10-16 17:56:55] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2018\1.json
[2025-10-16 17:56:56] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2018\2.json
[2025-10-16 17:56:57] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2018\3.json
[2025-10-16 17:56:58] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2018\4.json
[2025-10-16 17:56:58] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2019\1.json
[2025-10-16 17:56:59] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2019\2.json
[2025-10-16 17:57:00] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2019\3.json
[2025-10-16 17:57:01] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2019\4.json
[2025-10-16 17:57:01] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2020\1.json
[2025-10-16 17:57:02] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2020\2.json
[2025-10-16 17:57:03] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2020\3.json
[2025-10-16 17:57:04] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2020\4.json
[2025-10-16 17:57:04] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2021\1.json
[2025-10-16 17:57:05] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2021\2.json
[2025-10-16 17:57:06] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2021\3.json
[2025-10-16 17:57:07] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2021\4.json
[2025-10-16 17:57:07] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2022\1.json
[2025-10-16 17:57:07] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2022\2.json
[2025-10-16 17:57:07] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2022\3.json
[2025-10-16 17:57:07] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2022\4.json
[2025-10-16 17:57:07] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2023\1.json
[2025-10-16 17:57:07] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2023\2.json
[2025-10-16 17:57:07] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2023\3.json
[2025-10-16 17:57:07] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2023\4.json
[2025-10-16 17:57:07] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2024\1.json
[2025-10-16 17:57:07] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2024\2.json
[2025-10-16 17:57:07] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2024\3.json
[2025-10-16 17:57:07] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\karnataka\2024\4.json
[2025-10-16 17:57:08] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2018\1.json
[2025-10-16 17:57:09] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2018\2.json
[2025-10-16 17:57:10] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2018\3.json
[2025-10-16 17:57:11] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2018\4.json
[2025-10-16 17:57:12] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2019\1.json
[2025-10-16 17:57:13] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2019\2.json
[2025-10-16 17:57:13] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2019\3.json
[2025-10-16 17:57:14] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2019\4.json
[2025-10-16 17:57:15] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2020\1.json
[2025-10-16 17:57:15] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2020\2.json
[2025-10-16 17:57:16] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2020\3.json
[2025-10-16 17:57:17] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2020\4.json
[2025-10-16 17:57:18] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2021\1.json
[2025-10-16 17:57:19] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2021\2.json
[2025-10-16 17:57:19] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2021\3.json
[2025-10-16 17:57:20] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2021\4.json
[2025-10-16 17:57:21] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2022\1.json
[2025-10-16 17:57:21] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2022\2.json
[2025-10-16 17:57:21] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2022\3.json
[2025-10-16 17:57:21] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2022\4.json
[2025-10-16 17:57:21] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2023\1.json
[2025-10-16 17:57:21] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2023\2.json
[2025-10-16 17:57:21] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2023\3.json
[2025-10-16 17:57:21] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2023\4.json
[2025-10-16 17:57:21] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2024\1.json
[2025-10-16 17:57:21] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2024\2.json
[2025-10-16 17:57:21] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2024\3.json
[2025-10-16 17:57:21] ✅ Inserted 0 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\kerala\2024\4.json
[2025-10-16 17:57:22] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\ladakh\2018\1.json
[2025-10-16 17:57:23] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\ladakh\2018\2.json
[2025-10-16 17:57:23] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\ladakh\2018\3.json
[2025-10-16 17:57:24] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\ladakh\2018\4.json
[2025-10-16 17:57:25] ✅ Inserted 11 rows for aggregated_user: D:\Labmentix\Phone Pay\pulse\data\aggregated\user\country\india\state\ladakh\2019\1.json
